Wall time,Step,Value
1565050126.5627959,2456000,10.536861419677734
1565050179.9839616,2461000,10.446415901184082
1565050457.840906,2486000,11.035050392150879
1565050468.3792436,2487000,10.986871719360352
1565050576.5347443,2497000,11.059183120727539
1565050597.9400833,2499000,10.985591888427734
1565050652.60556,2504000,11.061326026916504
1565050801.2462773,2518000,10.945664405822754
1565050866.978311,2524000,10.988271713256836
1565050971.4017315,2533000,11.378053665161133
1565051131.130003,2548000,11.347098350524902
1565051174.1835752,2552000,11.349340438842773
1565051195.3663726,2554000,11.375460624694824
1565051472.8122678,2579000,11.605372428894043
1565051601.5542545,2591000,11.820083618164062
1565051710.8394158,2601000,11.761164665222168
1565051774.059138,2607000,11.720806121826172
1565051964.1794453,2624000,12.064013481140137
1565052027.849788,2630000,12.090227127075195
1565052038.5651853,2631000,12.060866355895996
1565052188.9850266,2645000,12.059991836547852
1565052261.2352653,2651000,12.358349800109863
1565052315.0752113,2656000,12.396222114562988
1565052557.9921021,2679000,12.362306594848633
1565052631.82027,2686000,12.365898132324219
1565052684.312165,2691000,12.382981300354004
1565052831.430128,2704000,12.653023719787598
1565052906.4725885,2711000,12.697368621826172
1565053066.4040005,2726000,12.621798515319824
1565053204.2781422,2738000,13.282099723815918
1565053236.7776,2741000,13.420805931091309
1565053389.2682588,2755000,13.352690696716309
1565053771.4240339,2790000,13.715874671936035
1565053782.5702338,2791000,13.777289390563965
1565053793.0880919,2792000,13.761013984680176
1565053983.301515,2810000,13.752861976623535
1565054152.3529885,2825000,14.467144966125488
1565054681.1362765,2873000,14.978740692138672
1565054777.3893373,2882000,15.006362915039062
1565054873.6974185,2891000,15.041812896728516
1565054936.8209562,2897000,14.969439506530762
1565055170.1852453,2918000,15.319098472595215
1565055191.9134514,2920000,15.323952674865723
1565055202.8240154,2921000,15.363006591796875
1565055717.774873,2968000,15.630308151245117
1565055803.9318771,2976000,15.61889934539795
1565056055.8731735,2999000,15.819418907165527
1565056151.5100825,3008000,15.839768409729004
1565056193.411666,3012000,15.95521068572998
1565056235.5913672,3016000,15.92390251159668
1565056371.0106268,3028000,16.137584686279297
1565056402.7077377,3031000,16.13068389892578
1565056487.09114,3039000,16.162460327148438
1565056519.405968,3042000,16.174955368041992
1565056783.4278443,3066000,16.43789291381836
1565056825.907167,3070000,16.37994956970215
1565056847.9302254,3072000,16.479936599731445
1565057147.0282135,3100000,16.425949096679688
1565057398.4783447,3123000,16.662492752075195
1565057561.5193791,3138000,16.660491943359375
1565057656.3702872,3146000,16.814363479614258
1565057710.771742,3151000,16.966140747070312
1565057763.1332557,3156000,16.93730926513672
1565057826.1092987,3162000,16.936189651489258
1565057994.2149284,3178000,16.863597869873047
1565058191.5757174,3196000,17.137910842895508
1565058202.0409484,3197000,17.190834045410156
1565058276.6121619,3204000,17.15281105041504
1565058308.0398579,3207000,17.140527725219727
1565058569.5605314,3231000,17.51616096496582
1565058601.5475707,3234000,17.44485092163086
1565058678.2522962,3241000,17.409339904785156
1565058712.0242653,3244000,17.441831588745117
1565058723.2174847,3245000,17.479110717773438
1565058744.2231221,3247000,17.412090301513672
1565058754.93147,3248000,17.438562393188477
1565059028.650401,3273000,17.815095901489258
1565059122.796664,3282000,17.87531089782715
1565059380.80729,3306000,17.838930130004883
1565059474.945193,3314000,18.34916877746582
1565059624.572696,3328000,18.317228317260742
1565059635.2524304,3329000,18.306081771850586
1565059815.8222868,3346000,18.311243057250977
1565060137.4090786,3375000,18.85643768310547
1565060159.0169563,3377000,18.870344161987305
1565060264.479942,3387000,18.868785858154297
1565060452.9562433,3404000,19.227169036865234
1565060506.5153196,3409000,19.26629066467285
1565060741.7283068,3431000,19.298797607421875
1565060833.822237,3439000,19.764503479003906
1565060953.164181,3450000,19.745952606201172
1565060974.1930587,3452000,19.769535064697266
1565061047.8192415,3459000,19.754013061523438
1565061110.353578,3465000,19.798057556152344
1565061185.3099213,3472000,19.82141876220703
1565061256.9893467,3478000,20.218338012695312
1565061289.050499,3481000,20.153038024902344
1565061467.9057398,3498000,20.16069984436035
1565061596.1627996,3510000,20.2398738861084
1565061627.4717925,3513000,20.186365127563477
1565061710.5153975,3520000,20.702922821044922
1565061881.5756454,3536000,20.685226440429688
1565061902.3574886,3538000,20.652708053588867
1565061965.0598943,3544000,20.724620819091797
1565062007.0199163,3548000,20.644651412963867
1565062188.158579,3564000,21.160125732421875
1565062367.080029,3581000,21.059873580932617
1565062587.9859114,3601000,21.48306655883789
1565062777.6877956,3619000,21.505891799926758
1565062799.2027075,3621000,21.426332473754883
1565062820.1256995,3623000,21.445175170898438
1565062852.6630597,3626000,21.506824493408203
1565062885.941024,3629000,21.48860740661621
1565063072.865301,3646000,21.84992218017578
1565063189.8046556,3657000,21.68950080871582
